n_train,n_test,n_countries,LASSO_test_r2,LASSO_test_rmse,Ridge_test_r2,Ridge_test_rmse,Elastic Net_test_r2,Elastic Net_test_rmse,Random Forest_test_r2,Random Forest_test_rmse,b
1196,320,39,0.7639571981404231,0.5006544026001037,0.7705606120055714,0.49360170001340353,0.7651293651223282,0.49940975346946814,0.78274193692946,0.48031993376130644,95
925,250,37,0.7163829199495717,0.6276300436734272,0.7522907740538362,0.5865548427394613,0.7169499695178572,0.6270023039511511,0.8341448286712456,0.47995668197053465,96
893,240,33,0.7750851629878776,0.44192959017583844,0.7784551084692757,0.4386063337480712,0.7727153566982949,0.4442516763900388,0.7912326419124135,0.42577026354363656,97
1063,290,34,0.7502566858656777,0.5646207959494869,0.7514966983476137,0.5632173388200229,0.7498682028729173,0.5650597673470135,0.8035220349663348,0.5008029291113135,98
827,230,33,0.7660012314236578,0.4314017022957786,0.7866947531443528,0.41188486867320384,0.7672382087071631,0.43025994157025205,0.7698402696361055,0.4278482289193469,99
968,265,35,0.6297340471608788,0.502166993383137,0.6339538845087438,0.49929725166161026,0.6295614659759579,0.5022840099192671,0.7141790826052559,0.44120281908433884,100
967,255,32,0.6823732011806345,0.5098227376538338,0.7298569940124653,0.47017279444019533,0.6918718351026194,0.5021417486677746,0.7784572351761647,0.4257840784203779,101
987,265,36,0.6616843808565342,0.4933377287365596,0.6661027478488946,0.49010567161842755,0.663027027370502,0.4923578202820165,0.6802386358181604,0.4796189123035998,102
968,260,31,0.694108445686308,0.5666205619340079,0.7006891996467455,0.560492468790168,0.6966820871525499,0.5642318747371892,0.713326699147061,0.5485323063581603,103
877,235,29,0.7808813138560042,0.4868964005929999,0.7822644936364564,0.48535720865290854,0.7812235278262516,0.486516040841578,0.8097266434397499,0.45371782986258513,104
941,250,35,0.5070284907452529,0.6431512883583352,0.5085472143475838,0.6421598289328769,0.5097107232515908,0.6413992254250057,0.7272404889401849,0.4784011174107653,105
1005,265,33,0.6212929809357463,0.5842607001532021,0.6122626568251918,0.5911855531277851,0.6202145571754283,0.5850919927690906,0.7367682853930806,0.48710670074250945,106
982,265,32,0.7428984883522202,0.47901258196757457,0.74263545827135,0.479257548457315,0.7431112979777813,0.4788142953247325,0.7290774202864563,0.491719246029264,107
837,225,33,0.8008533563118427,0.43556115162571135,0.8052858018892581,0.43068669142153165,0.8016327783260588,0.4347079643304818,0.8598995478211213,0.3653275380735113,108
724,195,29,0.5586001995451273,0.5174130716354894,0.5856210404966671,0.5013259411906932,0.567713509580585,0.5120438587510835,0.7460708828721623,0.39244389858391343,109
927,250,30,0.8213339540648676,0.43739487898365026,0.829598192891395,0.4271592143066219,0.8288489731422212,0.4280972475168561,0.8135474578418049,0.44682435330886994,110
849,230,31,0.6101021355169352,0.549402629134026,0.6220310851544574,0.5409328384862375,0.6111180498181914,0.5486864030548199,0.7740586566477254,0.41822805133987445,111
1017,275,32,0.6654238038000923,0.5540433624396548,0.6996747019072154,0.5249188818250481,0.673027003148363,0.5477119046591137,0.77883196946672,0.4504612233483776,112
1131,305,37,0.7289951063632965,0.546407901691166,0.726154716934097,0.5492638755091218,0.7286172824519559,0.5467886587751477,0.8169683992227629,0.44904663217462204,113
1172,315,37,0.7296244890549947,0.5646665667438416,0.7226232606828522,0.5719307104702097,0.7298265484682193,0.5644555315070372,0.8078204876121625,0.47606027309100907,114
